CarID,qsec,vs,am,gear,carb
1,16.46,0,1,4,4
2,17.02,0,1,4,4
3,18.61,1,1,4,1
4,19.44,1,0,3,1
5,17.02,0,0,3,2
6,20.22,1,0,3,1
7,15.84,0,0,3,4
8,20,1,0,4,2
9,22.9,1,0,4,2
10,18.3,1,0,4,4
11,18.9,1,0,4,4
12,17.4,0,0,3,3
13,17.6,0,0,3,3
14,18,0,0,3,3
15,17.98,0,0,3,4
16,17.82,0,0,3,4
17,17.42,0,0,3,4
18,19.47,1,1,4,1
19,18.52,1,1,4,2
20,19.9,1,1,4,1
21,20.01,1,0,3,1
22,16.87,0,0,3,2
23,17.3,0,0,3,2
24,15.41,0,0,3,4
25,17.05,0,0,3,2
26,18.9,1,1,4,1
27,16.7,0,1,5,2
28,16.9,1,1,5,2
29,14.5,0,1,5,4
30,15.5,0,1,5,6
31,14.6,0,1,5,8
32,18.6,1,1,4,2
